 kgrid  ValNew  Policy 
    0.85 -11.9041        0
0.850008 -11.9036        0
0.850017  -11.903        0
0.850025 -11.9025        0
0.850033 -11.9019        0
0.850042 -11.9014        0
 0.85005 -11.9009        0
0.850058 -11.9003        0
0.850067 -11.8998        0
0.850075 -11.8993        0
0.850083 -11.8987        0
0.850092 -11.8982        0
  0.8501 -11.8977        0
0.850108 -11.8971        0
0.850117 -11.8966        0
0.850125  -11.896        0
0.850133 -11.8955        0
0.850142  -11.895        0
 0.85015 -11.8944        0
0.850158 -11.8939        0
0.850167 -11.8934        0
0.850175 -11.8928        0
0.850183 -11.8923        0
0.850192 -11.8918        0
  0.8502 -11.8912        0
0.850208 -11.8907        0
0.850217 -11.8901        0
0.850225 -11.8896        0
0.850233 -11.8891        0
0.850242 -11.8885        0
 0.85025  -11.888        0
0.850258 -11.8875        0
0.850267 -11.8869        0
0.850275 -11.8864        0
0.850283 -11.8859        0
0.850292 -11.8853        0
  0.8503 -11.8848        0
0.850308 -11.8843        0
0.850317 -11.8837        0
0.850325 -11.8832        0
0.850333 -11.8827        0
0.850342 -11.8821        0
 0.85035 -11.8816        0
0.850358  -11.881        0
0.850367 -11.8805        0
0.850375   -11.88        0
0.850383 -11.8794        0
0.850392 -11.8789        0
  0.8504 -11.8784        0
0.850408 -11.8778        0
0.850417 -11.8773        0
0.850425 -11.8768        0
0.850433 -11.8762        0
0.850442 -11.8757        0
 0.85045 -11.8752        0
0.850458 -11.8746        0
0.850467 -11.8741        0
0.850475 -11.8736        0
0.850483  -11.873        0
0.850492 -11.8725        0
  0.8505 -11.8719        0
0.850508 -11.8714        0
0.850517 -11.8709        0
0.850525 -11.8703        0
0.850533 -11.8698        0
0.850542 -11.8693        0
 0.85055 -11.8687        0
0.850558 -11.8682        0
0.850567 -11.8677        0
0.850575 -11.8671        0
0.850583 -11.8666        0
0.850592 -11.8661        0
  0.8506 -11.8655        0
0.850608  -11.865        0
0.850617 -11.8645        0
0.850625 -11.8639        0
0.850633 -11.8634        0
0.850642 -11.8629        0
 0.85065 -11.8623        0
0.850658 -11.8618        0
0.850667 -11.8613        0
0.850675 -11.8607        0
0.850683 -11.8602        0
0.850692 -11.8597        0
  0.8507 -11.8591        0
0.850708 -11.8586        0
0.850717 -11.8581        0
0.850725 -11.8575        0
0.850733  -11.857        0
0.850742 -11.8565        0
 0.85075 -11.8559        0
0.850758 -11.8554        0
0.850767 -11.8549        0
0.850775 -11.8543        0
0.850783 -11.8538        0
0.850792 -11.8532        0
  0.8508 -11.8527        0
0.850808 -11.8522        0
0.850817 -11.8516        0
0.850825 -11.8511        0
0.850833 -11.8506        0
0.850842   -11.85        0
 0.85085 -11.8495        0
0.850858  -11.849        0
0.850867 -11.8484        0
0.850875 -11.8479        0
0.850883 -11.8474        0
0.850892 -11.8468        0
  0.8509 -11.8463        0
0.850908 -11.8458        0
0.850917 -11.8452        0
0.850925 -11.8447        0
0.850933 -11.8442        0
0.850942 -11.8436        0
 0.85095 -11.8431        0
0.850958 -11.8426        0
0.850967  -11.842        0
0.850975 -11.8415        0
0.850983  -11.841        0
0.850992 -11.8404        0
   0.851 -11.8399        0
0.851008 -11.8394        0
0.851017 -11.8388        0
0.851025 -11.8383        0
0.851033 -11.8378        0
0.851042 -11.8373        0
 0.85105 -11.8367        0
0.851058 -11.8362        0
0.851067 -11.8357        0
0.851075 -11.8351        0
0.851083 -11.8346        0
0.851092 -11.8341        0
  0.8511 -11.8335        0
0.851108  -11.833        0
0.851117 -11.8325        0
0.851125 -11.8319        0
0.851133 -11.8314        0
0.851142 -11.8309        0
 0.85115 -11.8303        0
0.851158 -11.8298        0
0.851167 -11.8293        0
0.851175 -11.8287        0
0.851183 -11.8282        0
0.851192 -11.8277        0
  0.8512 -11.8271        0
0.851208 -11.8266        0
0.851217 -11.8261        0
0.851225 -11.8255        0
0.851233  -11.825        0
0.851242 -11.8245        0
 0.85125 -11.8239        0
0.851258 -11.8234        0
0.851267 -11.8229        0
0.851275 -11.8223        0
0.851283 -11.8218        0
0.851292 -11.8213        0
  0.8513 -11.8207        0
0.851308 -11.8202        0
0.851317 -11.8197        0
0.851325 -11.8192        0
0.851333 -11.8186        0
0.851342 -11.8181        0
 0.85135 -11.8176        0
0.851358  -11.817        0
0.851367 -11.8165        0
0.851375  -11.816        0
0.851383 -11.8154        0
0.851392 -11.8149        0
  0.8514 -11.8144        0
0.851408 -11.8138        0
0.851417 -11.8133        0
0.851425 -11.8128        0
0.851433 -11.8122        0
0.851442 -11.8117        0
 0.85145 -11.8112        0
0.851458 -11.8106        0
0.851467 -11.8101        0
0.851475 -11.8096        0
0.851483 -11.8091        0
0.851492 -11.8085        0
  0.8515  -11.808        0
0.851508 -11.8075        0
0.851517 -11.8069        0
0.851525 -11.8064        0
0.851533 -11.8059        0
0.851542 -11.8053        0
 0.85155 -11.8048        0
0.851558 -11.8043        0
0.851567 -11.8037        0
0.851575 -11.8032        0
0.851583 -11.8027        0
0.851592 -11.8022        0
  0.8516 -11.8016        0
0.851608 -11.8011        0
0.851617 -11.8006        0
0.851625    -11.8        0
0.851633 -11.7995        0
0.851642  -11.799        0
 0.85165 -11.7984        0
0.851658 -11.7979        0
0.851667 -11.7974        0
0.851675 -11.7968        0
0.851683 -11.7963        0
0.851692 -11.7958        0
  0.8517 -11.7953        0
0.851708 -11.7947        0
0.851717 -11.7942        0
0.851725 -11.7937        0
0.851733 -11.7931        0
0.851742 -11.7926        0
 0.85175 -11.7921        0
0.851758 -11.7915        0
0.851767  -11.791        0
0.851775 -11.7905        0
0.851783   -11.79        0
0.851792 -11.7894        0
  0.8518 -11.7889        0
0.851808 -11.7884        0
0.851817 -11.7878        0
0.851825 -11.7873        0
0.851833 -11.7868        0
0.851842 -11.7862        0
 0.85185 -11.7857        0
0.851858 -11.7852        0
0.851867 -11.7847        0
0.851875 -11.7841        0
0.851883 -11.7836        0
0.851892 -11.7831        0
  0.8519 -11.7825        0
0.851908  -11.782        0
0.851917 -11.7815        0
0.851925 -11.7809        0
0.851933 -11.7804        0
0.851942 -11.7799        0
 0.85195 -11.7794        0
0.851958 -11.7788        0
0.851967 -11.7783        0
0.851975 -11.7778        0
0.851983 -11.7772        0
0.851992 -11.7767        0
   0.852 -11.7762        0
0.852008 -11.7757        0
0.852017 -11.7751        0
0.852025 -11.7746        0
0.852033 -11.7741        0
0.852042 -11.7735        0
 0.85205  -11.773        0
0.852058 -11.7725        0
0.852067 -11.7719        0
0.852075 -11.7714        0
0.852083 -11.7709        0
0.852092 -11.7704        0
  0.8521 -11.7698        0
0.852108 -11.7693        0
0.852117 -11.7688        0
0.852125 -11.7682        0
0.852133 -11.7677        0
0.852142 -11.7672        0
 0.85215 -11.7667        0
0.852158 -11.7661        0
0.852167 -11.7656        0
0.852175 -11.7651        0
0.852183 -11.7645        0
0.852192  -11.764        0
  0.8522 -11.7635        0
0.852208  -11.763        0
0.852217 -11.7624        0
0.852225 -11.7619        0
0.852233 -11.7614        0
0.852242 -11.7608        0
 0.85225 -11.7603        0
0.852258 -11.7598        0
0.852267 -11.7593        0
0.852275 -11.7587        0
0.852283 -11.7582        0
0.852292 -11.7577        0
  0.8523 -11.7571        0
0.852308 -11.7566        0
0.852317 -11.7561        0
0.852325 -11.7556        0
0.852333  -11.755        0
0.852342 -11.7545        0
 0.85235  -11.754        0
0.852358 -11.7534        0
0.852367 -11.7529        0
0.852375 -11.7524        0
0.852383 -11.7519        0
0.852392 -11.7513        0
  0.8524 -11.7508        0
0.852408 -11.7503        0
0.852417 -11.7498        0
0.852425 -11.7492        0
0.852433 -11.7487        0
0.852442 -11.7482        0
 0.85245 -11.7476        0
0.852458 -11.7471        0
0.852467 -11.7466        0
0.852475 -11.7461        0
0.852483 -11.7455        0
0.852492  -11.745        0
  0.8525 -11.7445        0
0.852508 -11.7439        0
0.852517 -11.7434        0
0.852525 -11.7429        0
0.852533 -11.7424        0
0.852542 -11.7418        0
 0.85255 -11.7413        0
0.852558 -11.7408        0
0.852567 -11.7403        0
0.852575 -11.7397        0
0.852583 -11.7392        0
0.852592 -11.7387        0
  0.8526 -11.7381        0
0.852608 -11.7376        0
0.852617 -11.7371        0
0.852625 -11.7366        0
0.852633  -11.736        0
0.852642 -11.7355        0
 0.85265  -11.735        0
0.852658 -11.7345        0
0.852667 -11.7339        0
0.852675 -11.7334        0
0.852683 -11.7329        0
0.852692 -11.7324        0
  0.8527 -11.7318        0
0.852708 -11.7313        0
0.852717 -11.7308        0
0.852725 -11.7302        0
0.852733 -11.7297        0
0.852742 -11.7292        0
 0.85275 -11.7287        0
0.852758 -11.7281        0
0.852767 -11.7276        0
0.852775 -11.7271        0
0.852783 -11.7266        0
0.852792  -11.726        0
  0.8528 -11.7255        0
0.852808  -11.725        0
0.852817 -11.7245        0
0.852825 -11.7239        0
0.852833 -11.7234        0
0.852842 -11.7229        0
 0.85285 -11.7223        0
0.852858 -11.7218        0
0.852867 -11.7213        0
0.852875 -11.7208        0
0.852883 -11.7202        0
0.852892 -11.7197        0
  0.8529 -11.7192        0
0.852908 -11.7187        0
0.852917 -11.7181        0
0.852925 -11.7176        0
0.852933 -11.7171        0
0.852942 -11.7166        0
 0.85295  -11.716        0
0.852958 -11.7155        0
0.852967  -11.715        0
0.852975 -11.7145        0
0.852983 -11.7139        0
0.852992 -11.7134        0
   0.853 -11.7129        0
0.853008 -11.7124        0
0.853017 -11.7118        0
0.853025 -11.7113        0
0.853033 -11.7108        0
0.853042 -11.7103        0
 0.85305 -11.7097        0
0.853058 -11.7092        0
0.853067 -11.7087        0
0.853075 -11.7082        0
0.853083 -11.7076        0
0.853092 -11.7071        0
  0.8531 -11.7066        0
0.853108 -11.7061        0
0.853117 -11.7055        0
0.853125  -11.705        0
0.853133 -11.7045        0
0.853142  -11.704        0
 0.85315 -11.7034        0
0.853158 -11.7029        0
0.853167 -11.7024        0
0.853175 -11.7019        0
0.853183 -11.7013        0
0.853192 -11.7008        0
  0.8532 -11.7003        0
0.853208 -11.6998        0
0.853217 -11.6992        0
0.853225 -11.6987        0
0.853233 -11.6982        0
0.853242 -11.6977        0
 0.85325 -11.6971        0
0.853258 -11.6966        0
0.853267 -11.6961        0
0.853275 -11.6956        0
0.853283  -11.695        0
0.853292 -11.6945        0
  0.8533  -11.694        0
0.853308 -11.6935        0
0.853317 -11.6929        0
0.853325 -11.6924        0
0.853333 -11.6919        0
0.853342 -11.6914        0
 0.85335 -11.6908        0
0.853358 -11.6903        0
0.853367 -11.6898        0
0.853375 -11.6893        0
0.853383 -11.6887        0
0.853392 -11.6882        0
  0.8534 -11.6877        0
0.853408 -11.6872        0
0.853417 -11.6866        0
0.853425 -11.6861        0
0.853433 -11.6856        0
0.853442 -11.6851        0
 0.85345 -11.6845        0
0.853458  -11.684        0
0.853467 -11.6835        0
0.853475  -11.683        0
0.853483 -11.6824        0
0.853492 -11.6819        0
  0.8535 -11.6814        0
0.853508 -11.6809        0
0.853517 -11.6803        0
0.853525 -11.6798        0
0.853533 -11.6793        0
0.853542 -11.6788        0
 0.85355 -11.6783        0
