 kgrid  ValNew  Policy 
     0.85   -11.489      0.85
 0.850003  -11.4886      0.85
 0.850006  -11.4882      0.85
 0.850009  -11.4878      0.85
 0.850012  -11.4874      0.85
 0.850015   -11.487      0.85
 0.850018  -11.4866      0.85
 0.850021  -11.4862      0.85
 0.850024  -11.4858      0.85
 0.850027  -11.4854      0.85
  0.85003   -11.485      0.85
 0.850033  -11.4846      0.85
 0.850036  -11.4842      0.85
 0.850039  -11.4838      0.85
 0.850042  -11.4834      0.85
 0.850045   -11.483      0.85
 0.850048  -11.4826      0.85
 0.850051  -11.4822      0.85
 0.850054  -11.4818      0.85
 0.850057  -11.4814      0.85
  0.85006   -11.481      0.85
 0.850063  -11.4806      0.85
 0.850066  -11.4802      0.85
 0.850069  -11.4798      0.85
 0.850072  -11.4794      0.85
 0.850075   -11.479      0.85
 0.850078  -11.4786      0.85
 0.850081  -11.4782      0.85
 0.850084  -11.4778      0.85
 0.850087  -11.4774      0.85
  0.85009   -11.477      0.85
 0.850093  -11.4766      0.85
 0.850096  -11.4762      0.85
 0.850099  -11.4758      0.85
 0.850102  -11.4754      0.85
 0.850105   -11.475      0.85
 0.850108  -11.4746      0.85
 0.850111  -11.4742      0.85
 0.850114  -11.4738      0.85
 0.850117  -11.4734      0.85
  0.85012   -11.473      0.85
 0.850123  -11.4726      0.85
 0.850126  -11.4722      0.85
 0.850129  -11.4718      0.85
 0.850132  -11.4714      0.85
 0.850135   -11.471      0.85
 0.850138  -11.4706      0.85
 0.850141  -11.4702      0.85
 0.850144  -11.4698      0.85
 0.850147  -11.4694      0.85
  0.85015   -11.469      0.85
 0.850153  -11.4686      0.85
 0.850156  -11.4682      0.85
 0.850159  -11.4678      0.85
 0.850162  -11.4674      0.85
 0.850165   -11.467      0.85
 0.850168  -11.4666      0.85
 0.850171  -11.4662      0.85
 0.850174  -11.4658      0.85
 0.850177  -11.4654      0.85
  0.85018   -11.465      0.85
 0.850183  -11.4646      0.85
 0.850186  -11.4642      0.85
 0.850189  -11.4638      0.85
 0.850192  -11.4634      0.85
 0.850195   -11.463      0.85
 0.850198  -11.4626      0.85
 0.850201  -11.4622      0.85
 0.850204  -11.4618      0.85
 0.850207  -11.4614      0.85
  0.85021   -11.461      0.85
 0.850213  -11.4606      0.85
 0.850216  -11.4603      0.85
 0.850219  -11.4599      0.85
 0.850222  -11.4595      0.85
 0.850225  -11.4591      0.85
 0.850228  -11.4587      0.85
 0.850231  -11.4583      0.85
 0.850234  -11.4579      0.85
 0.850237  -11.4575      0.85
  0.85024  -11.4571      0.85
 0.850243  -11.4567      0.85
 0.850246  -11.4563      0.85
 0.850249  -11.4559      0.85
 0.850252  -11.4555      0.85
 0.850255  -11.4551      0.85
 0.850258  -11.4547      0.85
 0.850261  -11.4543      0.85
 0.850264  -11.4539      0.85
 0.850267  -11.4535      0.85
  0.85027  -11.4531      0.85
 0.850273  -11.4527      0.85
 0.850276  -11.4523      0.85
 0.850279  -11.4519      0.85
 0.850282  -11.4515      0.85
 0.850285  -11.4511      0.85
 0.850288  -11.4507      0.85
 0.850291  -11.4503      0.85
