 kgrid  ValNew  Policy 
    0.85 -20.9588 0.856607
  0.8503 -20.9331 0.856907
0.850601 -20.9073 0.856907
0.850901 -20.8816 0.857207
0.851201  -20.856 0.857207
0.851502 -20.8304 0.857508
0.851802 -20.8048 0.857808
0.852102 -20.7793 0.857808
0.852402 -20.7539 0.858108
0.852703 -20.7285 0.858108
0.853003 -20.7031 0.858408
0.853303 -20.6778 0.858709
0.853604 -20.6526 0.858709
0.853904 -20.6273 0.859009
0.854204 -20.6022 0.859009
0.854505 -20.5771 0.859309
0.854805  -20.552  0.85961
0.855105  -20.527  0.85961
0.855405  -20.502  0.85991
0.855706 -20.4771  0.85991
0.856006 -20.4522  0.86021
0.856306 -20.4274 0.860511
0.856607 -20.4026 0.860511
0.856907 -20.3779 0.860811
0.857207 -20.3532 0.860811
0.857508 -20.3285 0.861111
0.857808  -20.304 0.861411
0.858108 -20.2794 0.861411
0.858408 -20.2549 0.861712
0.858709 -20.2304 0.861712
0.859009  -20.206 0.862012
0.859309 -20.1817 0.862312
 0.85961 -20.1573 0.862312
 0.85991 -20.1331 0.862613
 0.86021 -20.1089 0.862613
0.860511 -20.0847 0.862913
0.860811 -20.0605 0.863213
0.861111 -20.0364 0.863213
0.861411 -20.0124 0.863514
0.861712 -19.9884 0.863814
0.862012 -19.9644 0.863814
0.862312 -19.9404 0.864114
0.862613 -19.9166 0.864114
0.862913 -19.8927 0.864414
0.863213 -19.8689 0.864715
0.863514 -19.8451 0.864715
0.863814 -19.8214 0.865015
0.864114 -19.7977 0.865315
0.864414 -19.7741 0.865315
0.864715 -19.7505 0.865616
0.865015 -19.7269 0.865916
0.865315 -19.7034 0.865916
0.865616 -19.6799 0.866216
0.865916 -19.6565 0.866216
0.866216 -19.6331 0.866517
0.866517 -19.6097 0.866817
0.866817 -19.5864 0.866817
0.867117 -19.5631 0.867117
0.867417 -19.5399 0.867417
0.867718 -19.5167 0.867417
0.868018 -19.4935 0.867718
0.868318 -19.4704 0.868018
0.868619 -19.4473 0.868018
0.868919 -19.4243 0.868318
0.869219 -19.4013 0.868318
 0.86952 -19.3783 0.868619
 0.86982 -19.3554 0.868919
 0.87012 -19.3325 0.868919
 0.87042 -19.3097 0.869219
0.870721 -19.2869  0.86952
0.871021 -19.2641  0.86952
0.871321 -19.2414  0.86982
0.871622 -19.2187  0.87012
0.871922 -19.1961  0.87012
0.872222 -19.1735  0.87042
0.872523 -19.1509 0.870721
0.872823 -19.1284 0.870721
0.873123 -19.1059 0.871021
