 kgrid  ValNew  Policy 
    0.85 -26.5764 0.858108
  0.8503 -26.5501 0.858408
0.850601 -26.5239 0.858408
0.850901 -26.4977 0.858709
0.851201 -26.4716 0.859009
0.851502 -26.4455 0.859009
0.851802 -26.4194 0.859309
0.852102 -26.3934  0.85961
0.852402 -26.3674  0.85961
0.852703 -26.3415  0.85991
0.853003 -26.3156  0.86021
0.853303 -26.2898 0.860511
0.853604  -26.264 0.860511
0.853904 -26.2382 0.860811
0.854204 -26.2125 0.861111
0.854505 -26.1868 0.861111
0.854805 -26.1612 0.861411
0.855105 -26.1356 0.861712
0.855405 -26.1101 0.861712
0.855706 -26.0846 0.862012
0.856006 -26.0591 0.862312
0.856306 -26.0337 0.862312
0.856607 -26.0083 0.862613
0.856907  -25.983 0.862913
0.857207 -25.9577 0.862913
0.857508 -25.9324 0.863213
0.857808 -25.9072 0.863514
0.858108  -25.882 0.863514
0.858408 -25.8569 0.863814
0.858709 -25.8318 0.864114
0.859009 -25.8068 0.864114
0.859309 -25.7818 0.864414
 0.85961 -25.7568 0.864715
 0.85991 -25.7319 0.864715
 0.86021  -25.707 0.865015
0.860511 -25.6821 0.865315
0.860811 -25.6573 0.865315
0.861111 -25.6326 0.865616
0.861411 -25.6078 0.865916
0.861712 -25.5832 0.865916
0.862012 -25.5585 0.866216
0.862312 -25.5339 0.866517
0.862613 -25.5093 0.866517
0.862913 -25.4848 0.866817
0.863213 -25.4603 0.867117
0.863514 -25.4359 0.867117
0.863814 -25.4115 0.867417
0.864114 -25.3871 0.867718
0.864414 -25.3628 0.867718
0.864715 -25.3385 0.868018
0.865015 -25.3142 0.868318
0.865315   -25.29 0.868619
0.865616 -25.2659 0.868619
0.865916 -25.2417 0.868919
0.866216 -25.2176 0.868919
0.866517 -25.1936 0.869219
0.866817 -25.1696  0.86952
0.867117 -25.1456  0.86952
0.867417 -25.1216  0.86982
0.867718 -25.0977  0.87012
0.868018 -25.0739  0.87042
0.868318 -25.0501  0.87042
0.868619 -25.0263 0.870721
0.868919 -25.0025 0.871021
0.869219 -24.9788 0.871021
 0.86952 -24.9551 0.871321
 0.86982 -24.9315 0.871622
 0.87012 -24.9079 0.871622
 0.87042 -24.8843 0.871922
0.870721 -24.8608 0.872222
0.871021 -24.8373 0.872222
0.871321 -24.8139 0.872523
0.871622 -24.7905 0.872823
0.871922 -24.7671 0.872823
0.872222 -24.7437 0.873123
0.872523 -24.7204 0.873423
0.872823 -24.6972 0.873423
0.873123 -24.6739 0.873724
0.873423 -24.6508 0.874024
0.873724 -24.6276 0.874024
0.874024 -24.6045 0.874324
0.874324 -24.5814 0.874625
0.874625 -24.5584 0.874625
0.874925 -24.5353 0.874925
0.875225 -24.5123 0.875225
0.875526 -24.4894 0.875526
0.875826 -24.4665 0.875526
0.876126 -24.4436 0.875826
0.876426 -24.4208 0.876126
0.876727  -24.398 0.876126
0.877027 -24.3752 0.876426
0.877327 -24.3525 0.876727
0.877628 -24.3298 0.876727
0.877928 -24.3072 0.877027
0.878228 -24.2845 0.877327
0.878529  -24.262 0.877628
0.878829 -24.2394 0.877628
0.879129 -24.2169 0.877928
0.879429 -24.1944 0.878228
 0.87973 -24.1719 0.878228
 0.88003 -24.1494 0.878529
 0.88033  -24.127 0.878829
0.880631 -24.1046 0.879129
0.880931 -24.0823 0.879129
0.881231   -24.06 0.879429
0.881532 -24.0377  0.87973
0.881832 -24.0154  0.88003
0.882132 -23.9932  0.88033
0.882432  -23.971  0.88033
0.882733 -23.9488 0.880631
0.883033 -23.9266 0.880931
0.883333 -23.9045 0.881231
0.883634 -23.8824 0.881231
0.883934 -23.8603 0.881532
0.884234 -23.8383 0.881832
0.884535 -23.8163 0.882132
0.884835 -23.7943 0.882132
0.885135 -23.7723 0.882432
0.885435 -23.7504 0.882733
