Answer 	True answer 	Max Thread 	Parallel time 	Size of array
2.5e+15	2.5e+15	1	0.332467	100000000
1e+16	1e+16	1	1.13599	200000000
2.25e+16	2.25e+16	1	1.15457	300000000
4e+16	4e+16	1	1.42749	400000000
2.5e+15	2.5e+15	2	0.175355	100000000
1.1875e+16	1e+16	2	0.53487	200000000
3.1875e+16	2.25e+16	2	0.747122	300000000
6.625e+16	4e+16	2	0.887785	400000000
2.5e+15	2.5e+15	4	0.0911672	100000000
1.23438e+16	1e+16	4	0.26767	200000000
3.42188e+16	2.25e+16	4	0.380886	300000000
7.28125e+16	4e+16	4	0.486597	400000000
2.5e+15	2.5e+15	8	0.054995	100000000
1.24609e+16	1e+16	8	0.148163	200000000
3.48047e+16	2.25e+16	8	0.204016	300000000
7.44531e+16	4e+16	8	0.267557	400000000

