Parallel Error 	Serial Error 	Max Thread 	Serial time 	Parallel time 	Speedup 	Efficiency 	
1.24123e-13	1.24123e-13	1	1.59043	1.44941	1.09729	1.09729
1.93623e-13	1.93623e-13	1	3.00777	2.79944	1.07442	1.07442
9.2415e-13	9.2415e-13	1	4.42171	4.19235	1.05471	1.05471
1.30529e-12	1.30529e-12	1	5.83196	5.62963	1.03594	1.03594
2.57794e-13	1.24123e-13	2	1.69487	0.706853	2.39777	1.19889
0.105573	1.93623e-13	2	3.06701	1.48266	2.06858	1.03429
0.183503	9.2415e-13	2	4.42124	2.16849	2.03886	1.01943
0.244071	1.30529e-12	2	5.81819	2.85272	2.03952	1.01976
2.57794e-13	1.24123e-13	4	1.59213	0.389584	4.08674	1.02169
0.147197	1.93623e-13	4	2.9155	0.811639	3.59211	0.898028
0.244071	9.2415e-13	4	4.32824	1.2699	3.40833	0.852082
0.314006	1.30529e-12	4	5.73852	1.8881	3.03931	0.759828
2.51577e-13	1.24123e-13	8	1.70568	0.19463	8.76373	1.09547
0.165942	1.93623e-13	8	3.06363	0.40452	7.57349	0.946687
0.269703	9.2415e-13	8	4.3761	0.613082	7.13788	0.892235
0.342404	1.30529e-12	8	5.83776	0.864807	6.75037	0.843796

