 kgrid  ValNew  Policy 
    0.85 -16.3882     0.85
0.850003 -16.3879     0.85
0.850006 -16.3876     0.85
0.850009 -16.3873     0.85
0.850012  -16.387     0.85
0.850015 -16.3867     0.85
0.850018 -16.3864     0.85
0.850021 -16.3861     0.85
0.850024 -16.3858     0.85
0.850027 -16.3855     0.85
 0.85003 -16.3852     0.85
0.850033 -16.3849     0.85
0.850036 -16.3846     0.85
0.850039 -16.3843     0.85
0.850042 -16.3839     0.85
0.850045 -16.3836     0.85
0.850048 -16.3833     0.85
0.850051  -16.383     0.85
0.850054 -16.3827     0.85
0.850057 -16.3824     0.85
 0.85006 -16.3821     0.85
0.850063 -16.3818     0.85
0.850066 -16.3815     0.85
0.850069 -16.3812     0.85
0.850072 -16.3809     0.85
0.850075 -16.3806     0.85
0.850078 -16.3803     0.85
0.850081   -16.38     0.85
0.850084 -16.3797     0.85
0.850087 -16.3794     0.85
 0.85009  -16.379     0.85
0.850093 -16.3787     0.85
0.850096 -16.3784     0.85
0.850099 -16.3781     0.85
0.850102 -16.3778     0.85
0.850105 -16.3775     0.85
0.850108 -16.3772     0.85
0.850111 -16.3769     0.85
0.850114 -16.3766     0.85
0.850117 -16.3763     0.85
 0.85012  -16.376     0.85
0.850123 -16.3757     0.85
0.850126 -16.3754     0.85
0.850129 -16.3751     0.85
0.850132 -16.3748     0.85
0.850135 -16.3745     0.85
0.850138 -16.3741     0.85
0.850141 -16.3738     0.85
0.850144 -16.3735     0.85
0.850147 -16.3732     0.85
 0.85015 -16.3729     0.85
0.850153 -16.3726     0.85
0.850156 -16.3723     0.85
0.850159  -16.372     0.85
0.850162 -16.3717     0.85
0.850165 -16.3714     0.85
0.850168 -16.3711     0.85
0.850171 -16.3708     0.85
0.850174 -16.3705     0.85
0.850177 -16.3702     0.85
 0.85018 -16.3699     0.85
0.850183 -16.3696     0.85
0.850186 -16.3693     0.85
0.850189 -16.3689     0.85
0.850192 -16.3686     0.85
0.850195 -16.3683     0.85
0.850198  -16.368     0.85
0.850201 -16.3677     0.85
0.850204 -16.3674     0.85
0.850207 -16.3671     0.85
 0.85021 -16.3668     0.85
0.850213 -16.3665     0.85
0.850216 -16.3662     0.85
0.850219 -16.3659     0.85
0.850222 -16.3656     0.85
0.850225 -16.3653     0.85
0.850228  -16.365     0.85
0.850231 -16.3647     0.85
0.850234 -16.3644     0.85
0.850237 -16.3641     0.85
 0.85024 -16.3637     0.85
0.850243 -16.3634     0.85
0.850246 -16.3631     0.85
0.850249 -16.3628     0.85
0.850252 -16.3625     0.85
0.850255 -16.3622     0.85
0.850258 -16.3619     0.85
0.850261 -16.3616     0.85
0.850264 -16.3613     0.85
0.850267  -16.361     0.85
 0.85027 -16.3607     0.85
0.850273 -16.3604     0.85
0.850276 -16.3601     0.85
0.850279 -16.3598     0.85
0.850282 -16.3595     0.85
0.850285 -16.3592     0.85
0.850288 -16.3589     0.85
0.850291 -16.3586     0.85
0.850294 -16.3583     0.85
0.850297 -16.3579     0.85
  0.8503 -16.3576     0.85
0.850303 -16.3573     0.85
0.850306  -16.357     0.85
0.850309 -16.3567     0.85
0.850312 -16.3564     0.85
0.850315 -16.3561     0.85
0.850318 -16.3558     0.85
0.850321 -16.3555     0.85
0.850324 -16.3552     0.85
0.850327 -16.3549     0.85
 0.85033 -16.3546     0.85
0.850333 -16.3543     0.85
0.850336  -16.354     0.85
0.850339 -16.3537     0.85
0.850342 -16.3534     0.85
0.850345 -16.3531     0.85
0.850348 -16.3528     0.85
0.850351 -16.3525     0.85
0.850354 -16.3521     0.85
0.850357 -16.3518     0.85
 0.85036 -16.3515     0.85
0.850363 -16.3512     0.85
0.850366 -16.3509     0.85
0.850369 -16.3506     0.85
0.850372 -16.3503     0.85
0.850375   -16.35     0.85
0.850378 -16.3497     0.85
0.850381 -16.3494     0.85
0.850384 -16.3491     0.85
0.850387 -16.3488     0.85
 0.85039 -16.3485     0.85
0.850393 -16.3482     0.85
0.850396 -16.3479     0.85
0.850399 -16.3476     0.85
0.850402 -16.3473     0.85
0.850405  -16.347     0.85
0.850408 -16.3467     0.85
0.850411 -16.3464     0.85
0.850414  -16.346     0.85
0.850417 -16.3457     0.85
 0.85042 -16.3454     0.85
0.850423 -16.3451     0.85
0.850426 -16.3448     0.85
0.850429 -16.3445     0.85
0.850432 -16.3442     0.85
0.850435 -16.3439     0.85
0.850438 -16.3436     0.85
0.850441 -16.3433     0.85
0.850444  -16.343     0.85
0.850447 -16.3427     0.85
 0.85045 -16.3424     0.85
0.850453 -16.3421     0.85
0.850456 -16.3418     0.85
0.850459 -16.3415     0.85
0.850462 -16.3412     0.85
0.850465 -16.3409     0.85
0.850468 -16.3406     0.85
0.850471 -16.3403     0.85
0.850474   -16.34     0.85
0.850477 -16.3396     0.85
 0.85048 -16.3393     0.85
0.850483  -16.339     0.85
0.850486 -16.3387     0.85
0.850489 -16.3384     0.85
0.850492 -16.3381     0.85
0.850495 -16.3378     0.85
0.850498 -16.3375     0.85
0.850501 -16.3372     0.85
0.850504 -16.3369     0.85
0.850507 -16.3366     0.85
 0.85051 -16.3363     0.85
0.850513  -16.336     0.85
0.850516 -16.3357     0.85
0.850519 -16.3354     0.85
0.850522 -16.3351     0.85
0.850525 -16.3348     0.85
0.850528 -16.3345     0.85
0.850531 -16.3342     0.85
0.850534 -16.3339     0.85
0.850537 -16.3336     0.85
 0.85054 -16.3333     0.85
0.850543  -16.333     0.85
0.850546 -16.3326     0.85
0.850549 -16.3323     0.85
0.850552  -16.332     0.85
0.850555 -16.3317     0.85
0.850558 -16.3314     0.85
0.850561 -16.3311     0.85
0.850564 -16.3308     0.85
0.850567 -16.3305     0.85
 0.85057 -16.3302     0.85
0.850573 -16.3299     0.85
0.850576 -16.3296     0.85
0.850579 -16.3293     0.85
0.850582  -16.329     0.85
0.850585 -16.3287     0.85
0.850588 -16.3284     0.85
0.850591 -16.3281     0.85
0.850594 -16.3278     0.85
0.850597 -16.3275     0.85
  0.8506 -16.3272     0.85
0.850603 -16.3269     0.85
0.850606 -16.3266     0.85
0.850609 -16.3263     0.85
0.850612  -16.326     0.85
0.850615 -16.3257     0.85
0.850618 -16.3253     0.85
0.850621  -16.325     0.85
0.850624 -16.3247     0.85
0.850627 -16.3244     0.85
 0.85063 -16.3241     0.85
0.850633 -16.3238     0.85
0.850636 -16.3235     0.85
0.850639 -16.3232     0.85
0.850642 -16.3229     0.85
0.850645 -16.3226     0.85
0.850648 -16.3223     0.85
0.850651  -16.322     0.85
0.850654 -16.3217     0.85
0.850657 -16.3214     0.85
 0.85066 -16.3211     0.85
0.850663 -16.3208     0.85
0.850666 -16.3205     0.85
0.850669 -16.3202     0.85
0.850672 -16.3199     0.85
0.850675 -16.3196     0.85
0.850678 -16.3193     0.85
0.850681  -16.319     0.85
0.850684 -16.3187     0.85
0.850687 -16.3184     0.85
 0.85069 -16.3181     0.85
0.850693 -16.3178     0.85
0.850696 -16.3174     0.85
0.850699 -16.3171     0.85
0.850702 -16.3168     0.85
0.850705 -16.3165     0.85
0.850708 -16.3162     0.85
0.850711 -16.3159     0.85
0.850714 -16.3156     0.85
0.850717 -16.3153     0.85
 0.85072  -16.315     0.85
0.850723 -16.3147     0.85
0.850726 -16.3144     0.85
0.850729 -16.3141     0.85
0.850732 -16.3138     0.85
0.850735 -16.3135     0.85
0.850738 -16.3132     0.85
0.850741 -16.3129     0.85
0.850744 -16.3126     0.85
0.850747 -16.3123     0.85
 0.85075  -16.312     0.85
0.850753 -16.3117     0.85
0.850756 -16.3114     0.85
0.850759 -16.3111     0.85
0.850762 -16.3108     0.85
