 kgrid  ValNew  Policy 
    0.85 -23.5654 0.884535
  0.8503 -23.5434 0.884835
0.850601 -23.5215 0.885135
0.850901 -23.4996 0.885435
0.851201 -23.4777 0.885435
0.851502 -23.4558 0.885736
0.851802  -23.434 0.886036
0.852102 -23.4121 0.886336
0.852402 -23.3904 0.886336
0.852703 -23.3686 0.886637
0.853003 -23.3469 0.886937
0.853303 -23.3252 0.887237
0.853604 -23.3035 0.887237
0.853904 -23.2819 0.887538
0.854204 -23.2603 0.887838
0.854505 -23.2387 0.888138
0.854805 -23.2172 0.888438
0.855105 -23.1956 0.888438
0.855405 -23.1741 0.888739
0.855706 -23.1527 0.889039
0.856006 -23.1312 0.889339
0.856306 -23.1098 0.889339
0.856607 -23.0884  0.88964
0.856907 -23.0671  0.88994
0.857207 -23.0457  0.89024
0.857508 -23.0244 0.890541
0.857808 -23.0032 0.890541
0.858108 -22.9819 0.890841
0.858408 -22.9607 0.891141
0.858709 -22.9395 0.891441
0.859009 -22.9183 0.891441
0.859309 -22.8972 0.891742
 0.85961 -22.8761 0.892042
 0.85991  -22.855 0.892342
 0.86021 -22.8339 0.892342
0.860511 -22.8129 0.892643
0.860811 -22.7919 0.892943
0.861111 -22.7709 0.893243
0.861411   -22.75 0.893544
0.861712  -22.729 0.893544
0.862012 -22.7081 0.893844
0.862312 -22.6873 0.894144
0.862613 -22.6664 0.894444
0.862913 -22.6456 0.894444
0.863213 -22.6248 0.894745
0.863514  -22.604 0.895045
0.863814 -22.5833 0.895345
0.864114 -22.5626 0.895646
0.864414 -22.5419 0.895646
0.864715 -22.5212 0.895946
0.865015 -22.5006 0.896246
0.865315   -22.48 0.896547
0.865616 -22.4594 0.896547
0.865916 -22.4388 0.896847
0.866216 -22.4183 0.897147
0.866517 -22.3978 0.897447
0.866817 -22.3773 0.897748
0.867117 -22.3569 0.897748
0.867417 -22.3364 0.898048
0.867718  -22.316 0.898348
0.868018 -22.2957 0.898649
0.868318 -22.2753 0.898649
0.868619  -22.255 0.898949
0.868919 -22.2347 0.899249
0.869219 -22.2144  0.89955
 0.86952 -22.1942  0.89955
 0.86982 -22.1739  0.89985
 0.87012 -22.1537  0.90015
 0.87042 -22.1336  0.90045
0.870721 -22.1134 0.900751
0.871021 -22.0933 0.900751
0.871321 -22.0732 0.901051
0.871622 -22.0531 0.901351
0.871922 -22.0331 0.901652
0.872222  -22.013 0.901952
0.872523  -21.993 0.901952
0.872823 -21.9731 0.902252
0.873123 -21.9531 0.902553
0.873423 -21.9332 0.902853
0.873724 -21.9133 0.902853
0.874024 -21.8934 0.903153
0.874324 -21.8736 0.903453
0.874625 -21.8537 0.903754
0.874925 -21.8339 0.903754
0.875225 -21.8142 0.904054
0.875526 -21.7944 0.904354
0.875826 -21.7747 0.904655
0.876126  -21.755 0.904955
0.876426 -21.7353 0.904955
0.876727 -21.7156 0.905255
0.877027  -21.696 0.905556
0.877327 -21.6764 0.905856
0.877628 -21.6568 0.906156
0.877928 -21.6372 0.906156
0.878228 -21.6177 0.906456
0.878529 -21.5982 0.906757
0.878829 -21.5787 0.907057
0.879129 -21.5592 0.907057
0.879429 -21.5398 0.907357
 0.87973 -21.5204 0.907658
 0.88003  -21.501 0.907958
 0.88033 -21.4816 0.908258
0.880631 -21.4623 0.908258
0.880931 -21.4429 0.908559
0.881231 -21.4237 0.908859
0.881532 -21.4044 0.909159
0.881832 -21.3851 0.909159
0.882132 -21.3659 0.909459
0.882432 -21.3467  0.90976
0.882733 -21.3275  0.91006
0.883033 -21.3084  0.91036
0.883333 -21.2892  0.91036
0.883634 -21.2701 0.910661
0.883934  -21.251 0.910961
0.884234  -21.232 0.911261
0.884535 -21.2129 0.911562
0.884835 -21.1939 0.911562
0.885135 -21.1749 0.911862
0.885435 -21.1559 0.912162
0.885736  -21.137 0.912462
0.886036 -21.1181 0.912462
0.886336 -21.0991 0.912763
0.886637 -21.0803 0.913063
0.886937 -21.0614 0.913363
0.887237 -21.0426 0.913664
0.887538 -21.0237 0.913664
0.887838  -21.005 0.913964
0.888138 -20.9862 0.914264
0.888438 -20.9674 0.914565
0.888739 -20.9487 0.914565
0.889039   -20.93 0.914865
0.889339 -20.9113 0.915165
 0.88964 -20.8927 0.915465
 0.88994  -20.874 0.915766
 0.89024 -20.8554 0.915766
0.890541 -20.8368 0.916066
0.890841 -20.8182 0.916366
0.891141 -20.7997 0.916667
0.891441 -20.7812 0.916967
0.891742 -20.7627 0.916967
0.892042 -20.7442 0.917267
0.892342 -20.7257 0.917568
0.892643 -20.7073 0.917868
0.892943 -20.6889 0.918168
0.893243 -20.6705 0.918168
0.893544 -20.6521 0.918468
0.893844 -20.6338 0.918769
0.894144 -20.6154 0.919069
0.894444 -20.5971 0.919069
0.894745 -20.5788 0.919369
0.895045 -20.5606  0.91967
0.895345 -20.5423  0.91997
0.895646 -20.5241  0.92027
0.895946 -20.5059  0.92027
0.896246 -20.4877 0.920571
0.896547 -20.4696 0.920871
0.896847 -20.4515 0.921171
0.897147 -20.4334 0.921471
0.897447 -20.4153 0.921471
0.897748 -20.3972 0.921772
0.898048 -20.3791 0.922072
0.898348 -20.3611 0.922372
0.898649 -20.3431 0.922372
0.898949 -20.3251 0.922673
0.899249 -20.3072 0.922973
 0.89955 -20.2892 0.923273
 0.89985 -20.2713 0.923574
 0.90015 -20.2534 0.923574
 0.90045 -20.2355 0.923874
0.900751 -20.2177 0.924174
0.901051 -20.1998 0.924474
0.901351  -20.182 0.924474
0.901652 -20.1642 0.924775
0.901952 -20.1465 0.925075
0.902252 -20.1287 0.925375
0.902553  -20.111 0.925676
0.902853 -20.0933 0.925676
0.903153 -20.0756 0.925976
0.903453 -20.0579 0.926276
0.903754 -20.0403 0.926577
0.904054 -20.0226 0.926877
0.904354  -20.005 0.926877
0.904655 -19.9874 0.927177
0.904955 -19.9699 0.927477
0.905255 -19.9523 0.927778
0.905556 -19.9348 0.927778
0.905856 -19.9173 0.928078
0.906156 -19.8998 0.928378
0.906456 -19.8824 0.928679
0.906757 -19.8649 0.928979
0.907057 -19.8475 0.928979
0.907357 -19.8301 0.929279
0.907658 -19.8127  0.92958
0.907958 -19.7954  0.92988
0.908258  -19.778  0.93018
0.908559 -19.7607  0.93018
0.908859 -19.7434  0.93048
0.909159 -19.7261 0.930781
0.909459 -19.7089 0.931081
 0.90976 -19.6916 0.931081
 0.91006 -19.6744 0.931381
 0.91036 -19.6572 0.931682
0.910661   -19.64 0.931982
0.910961 -19.6228 0.932282
0.911261 -19.6057 0.932282
0.911562 -19.5886 0.932583
0.911862 -19.5715 0.932883
0.912162 -19.5544 0.933183
0.912462 -19.5373 0.933483
0.912763 -19.5203 0.933483
0.913063 -19.5033 0.933784
0.913363 -19.4862 0.934084
0.913664 -19.4693 0.934384
0.913964 -19.4523 0.934685
0.914264 -19.4353 0.934685
0.914565 -19.4184 0.934985
0.914865 -19.4015 0.935285
0.915165 -19.3846 0.935586
0.915465 -19.3677 0.935886
0.915766 -19.3509 0.935886
0.916066 -19.3341 0.936186
0.916366 -19.3172 0.936486
0.916667 -19.3005 0.936787
0.916967 -19.2837 0.937087
0.917267 -19.2669 0.937087
0.917568 -19.2502 0.937387
0.917868 -19.2335 0.937688
0.918168 -19.2168 0.937988
0.918468 -19.2001 0.937988
0.918769 -19.1834 0.938288
0.919069 -19.1668 0.938589
0.919369 -19.1502 0.938889
 0.91967 -19.1336 0.939189
 0.91997  -19.117 0.939189
 0.92027 -19.1004 0.939489
0.920571 -19.0839  0.93979
0.920871 -19.0673  0.94009
0.921171 -19.0508  0.94039
0.921471 -19.0343  0.94039
0.921772 -19.0179 0.940691
0.922072 -19.0014 0.940991
0.922372  -18.985 0.941291
0.922673 -18.9686 0.941592
0.922973 -18.9521 0.941592
0.923273 -18.9358 0.941892
0.923574 -18.9194 0.942192
0.923874 -18.9031 0.942492
0.924174 -18.8867 0.942492
0.924474 -18.8704 0.942793
0.924775 -18.8541 0.943093
0.925075 -18.8379 0.943393
0.925375 -18.8216 0.943694
0.925676 -18.8054 0.943694
0.925976 -18.7892 0.943994
0.926276  -18.773 0.944294
0.926577 -18.7568 0.944595
0.926877 -18.7407 0.944895
0.927177 -18.7245 0.944895
0.927477 -18.7084 0.945195
0.927778 -18.6923 0.945495
0.928078 -18.6762 0.945796
0.928378 -18.6601 0.946096
0.928679 -18.6441 0.946096
0.928979  -18.628 0.946396
0.929279  -18.612 0.946697
 0.92958  -18.596 0.946997
 0.92988 -18.5801 0.947297
 0.93018 -18.5641 0.947297
 0.93048 -18.5481 0.947598
0.930781 -18.5322 0.947898
0.931081 -18.5163 0.948198
0.931381 -18.5004 0.948198
0.931682 -18.4846 0.948498
0.931982 -18.4687 0.948799
0.932282 -18.4529 0.949099
0.932583 -18.4371 0.949399
0.932883 -18.4213 0.949399
0.933183 -18.4055   0.9497
0.933483 -18.3897     0.95
0.933784  -18.374   0.9503
0.934084 -18.3582 0.950601
0.934384 -18.3425 0.950601
0.934685 -18.3268 0.950901
0.934985 -18.3111 0.951201
0.935285 -18.2955 0.951502
0.935586 -18.2799 0.951802
0.935886 -18.2642 0.951802
0.936186 -18.2486 0.952102
0.936486  -18.233 0.952402
0.936787 -18.2175 0.952703
0.937087 -18.2019 0.953003
0.937387 -18.1864 0.953003
0.937688 -18.1708 0.953303
0.937988 -18.1553 0.953604
0.938288 -18.1399 0.953904
0.938589 -18.1244 0.953904
0.938889 -18.1089 0.954204
0.939189 -18.0935 0.954505
0.939489 -18.0781 0.954805
 0.93979 -18.0627 0.955105
 0.94009 -18.0473 0.955105
 0.94039  -18.032 0.955405
0.940691 -18.0166 0.955706
0.940991 -18.0013 0.956006
0.941291  -17.986 0.956306
0.941592 -17.9707 0.956306
0.941892 -17.9554 0.956607
0.942192 -17.9401 0.956907
0.942492 -17.9249 0.957207
0.942793 -17.9097 0.957508
0.943093 -17.8944 0.957508
0.943393 -17.8792 0.957808
0.943694 -17.8641 0.958108
0.943994 -17.8489 0.958408
0.944294 -17.8338 0.958408
0.944595 -17.8186 0.958709
0.944895 -17.8035 0.959009
0.945195 -17.7884 0.959309
0.945495 -17.7734  0.95961
0.945796 -17.7583  0.95961
0.946096 -17.7433  0.95991
0.946396 -17.7282  0.96021
0.946697 -17.7132 0.960511
0.946997 -17.6982 0.960811
0.947297 -17.6833 0.960811
0.947598 -17.6683 0.961111
0.947898 -17.6533 0.961411
0.948198 -17.6384 0.961712
0.948498 -17.6235 0.962012
0.948799 -17.6086 0.962012
0.949099 -17.5937 0.962312
0.949399 -17.5789 0.962613
  0.9497  -17.564 0.962913
    0.95 -17.5492 0.963213
  0.9503 -17.5344 0.963213
0.950601 -17.5196 0.963514
0.950901 -17.5048 0.963814
0.951201 -17.4901 0.964114
0.951502 -17.4753 0.964114
0.951802 -17.4606 0.964414
0.952102 -17.4459 0.964715
0.952402 -17.4312 0.965015
0.952703 -17.4165 0.965315
0.953003 -17.4018 0.965315
0.953303 -17.3872 0.965616
0.953604 -17.3725 0.965916
0.953904 -17.3579 0.966216
0.954204 -17.3433 0.966517
0.954505 -17.3287 0.966517
0.954805 -17.3142 0.966817
0.955105 -17.2996 0.967117
0.955405 -17.2851 0.967417
0.955706 -17.2706 0.967718
0.956006 -17.2561 0.967718
0.956306 -17.2416 0.968018
0.956607 -17.2271 0.968318
0.956907 -17.2126 0.968619
0.957207 -17.1982 0.968619
0.957508 -17.1838 0.968919
0.957808 -17.1694 0.969219
0.958108  -17.155  0.96952
0.958408 -17.1406  0.96982
0.958709 -17.1262  0.96982
0.959009 -17.1119  0.97012
0.959309 -17.0975  0.97042
 0.95961 -17.0832 0.970721
 0.95991 -17.0689 0.971021
 0.96021 -17.0546 0.971021
0.960511 -17.0404 0.971321
0.960811 -17.0261 0.971622
0.961111 -17.0119 0.971922
0.961411 -16.9977 0.971922
0.961712 -16.9835 0.972222
0.962012 -16.9693 0.972523
0.962312 -16.9551 0.972823
0.962613 -16.9409 0.973123
0.962913 -16.9268 0.973123
0.963213 -16.9127 0.973423
0.963514 -16.8985 0.973724
0.963814 -16.8844 0.974024
0.964114 -16.8704 0.974324
0.964414 -16.8563 0.974324
0.964715 -16.8422 0.974625
0.965015 -16.8282 0.974925
0.965315 -16.8142 0.975225
0.965616 -16.8002 0.975526
0.965916 -16.7862 0.975526
0.966216 -16.7722 0.975826
0.966517 -16.7583 0.976126
0.966817 -16.7443 0.976426
0.967117 -16.7304 0.976727
0.967417 -16.7165 0.976727
0.967718 -16.7026 0.977027
0.968018 -16.6887 0.977327
0.968318 -16.6748 0.977628
0.968619  -16.661 0.977628
0.968919 -16.6471 0.977928
0.969219 -16.6333 0.978228
 0.96952 -16.6195 0.978529
 0.96982 -16.6057 0.978829
 0.97012 -16.5919 0.978829
 0.97042 -16.5781 0.979129
0.970721 -16.5644 0.979429
0.971021 -16.5507  0.97973
0.971321  -16.537  0.97973
0.971622 -16.5232  0.98003
0.971922 -16.5095  0.98033
0.972222 -16.4959 0.980631
0.972523 -16.4822 0.980931
0.972823 -16.4686 0.980931
0.973123 -16.4549 0.981231
0.973423 -16.4413 0.981532
0.973724 -16.4277 0.981832
0.974024 -16.4141 0.982132
0.974324 -16.4006 0.982432
0.974625  -16.387 0.982432
0.974925 -16.3735 0.982733
0.975225 -16.3599 0.983033
0.975526 -16.3464 0.983333
0.975826 -16.3329 0.983333
0.976126 -16.3194 0.983634
0.976426  -16.306 0.983934
0.976727 -16.2925 0.984234
0.977027 -16.2791 0.984535
0.977327 -16.2656 0.984535
0.977628 -16.2522 0.984835
0.977928 -16.2388 0.985135
0.978228 -16.2255 0.985435
0.978529 -16.2121 0.985435
0.978829 -16.1987 0.985736
0.979129 -16.1854 0.986036
0.979429 -16.1721 0.986336
 0.97973 -16.1588 0.986637
 0.98003 -16.1455 0.986637
 0.98033 -16.1322 0.986937
0.980631 -16.1189 0.987237
0.980931 -16.1057 0.987538
0.981231 -16.0924 0.987538
0.981532 -16.0792 0.987838
0.981832  -16.066 0.988138
0.982132 -16.0528 0.988438
0.982432 -16.0396 0.988739
0.982733 -16.0264 0.988739
0.983033 -16.0133 0.989039
0.983333 -16.0001 0.989339
0.983634  -15.987  0.98964
0.983934 -15.9739  0.98994
0.984234 -15.9608  0.99024
0.984535 -15.9477  0.99024
0.984835 -15.9346 0.990541
0.985135 -15.9216 0.990841
0.985435 -15.9085 0.991141
0.985736 -15.8955 0.991141
0.986036 -15.8825 0.991441
0.986336 -15.8695 0.991742
0.986637 -15.8565 0.992042
0.986937 -15.8435 0.992342
0.987237 -15.8306 0.992342
0.987538 -15.8176 0.992643
0.987838 -15.8047 0.992943
0.988138 -15.7918 0.993243
0.988438 -15.7789 0.993243
0.988739  -15.766 0.993544
0.989039 -15.7531 0.993844
0.989339 -15.7403 0.994144
 0.98964 -15.7274 0.994444
 0.98994 -15.7146 0.994444
 0.99024 -15.7018 0.994745
0.990541 -15.6889 0.995045
0.990841 -15.6762 0.995345
0.991141 -15.6634 0.995646
0.991441 -15.6506 0.995646
0.991742 -15.6379 0.995946
0.992042 -15.6251 0.996246
0.992342 -15.6124 0.996547
0.992643 -15.5997 0.996847
0.992943  -15.587 0.996847
0.993243 -15.5743 0.997147
0.993544 -15.5616 0.997447
0.993844  -15.549 0.997748
0.994144 -15.5363 0.997748
0.994444 -15.5237 0.998048
0.994745 -15.5111 0.998348
0.995045 -15.4985 0.998649
0.995345 -15.4859 0.998949
0.995646 -15.4733 0.998949
0.995946 -15.4607 0.999249
0.996246 -15.4482  0.99955
0.996547 -15.4356  0.99985
0.996847 -15.4231  1.00015
0.997147 -15.4106  1.00015
0.997447 -15.3981  1.00045
0.997748 -15.3856  1.00075
0.998048 -15.3732  1.00105
0.998348 -15.3607  1.00105
0.998649 -15.3482  1.00135
0.998949 -15.3358  1.00165
0.999249 -15.3234  1.00195
 0.99955  -15.311  1.00225
 0.99985 -15.2986  1.00225
 1.00015 -15.2862  1.00255
 1.00045 -15.2738  1.00285
 1.00075 -15.2615  1.00315
 1.00105 -15.2492  1.00345
 1.00135 -15.2368  1.00345
 1.00165 -15.2245  1.00375
 1.00195 -15.2122  1.00405
 1.00225 -15.1999  1.00435
 1.00255 -15.1877  1.00465
 1.00285 -15.1754  1.00465
 1.00315 -15.1631  1.00495
 1.00345 -15.1509  1.00526
 1.00375 -15.1387  1.00556
 1.00405 -15.1265  1.00556
 1.00435 -15.1143  1.00586
 1.00465 -15.1021  1.00616
 1.00495 -15.0899  1.00646
 1.00526 -15.0778  1.00676
 1.00556 -15.0656  1.00676
 1.00586 -15.0535  1.00706
 1.00616 -15.0413  1.00736
 1.00646 -15.0292  1.00766
 1.00676 -15.0172  1.00796
 1.00706 -15.0051  1.00796
 1.00736  -14.993  1.00826
 1.00766 -14.9809  1.00856
 1.00796 -14.9689  1.00886
 1.00826 -14.9569  1.00886
 1.00856 -14.9448  1.00916
 1.00886 -14.9328  1.00946
 1.00916 -14.9208  1.00976
 1.00946 -14.9089  1.01006
 1.00976 -14.8969  1.01006
 1.01006 -14.8849  1.01036
 1.01036  -14.873  1.01066
 1.01066 -14.8611  1.01096
 1.01096 -14.8491  1.01126
 1.01126 -14.8372  1.01126
 1.01156 -14.8253  1.01156
 1.01186 -14.8134  1.01186
 1.01216 -14.8016  1.01216
 1.01246 -14.7897  1.01246
 1.01276 -14.7779  1.01246
 1.01306  -14.766  1.01276
 1.01336 -14.7542  1.01306
 1.01366 -14.7424  1.01336
 1.01396 -14.7306  1.01336
 1.01426 -14.7188  1.01366
 1.01456 -14.7071  1.01396
 1.01486 -14.6953  1.01426
 1.01517 -14.6836  1.01456
 1.01547 -14.6718  1.01456
 1.01577 -14.6601  1.01486
 1.01607 -14.6484  1.01517
 1.01637 -14.6367  1.01547
 1.01667  -14.625  1.01577
 1.01697 -14.6133  1.01577
 1.01727 -14.6017  1.01607
 1.01757   -14.59  1.01637
 1.01787 -14.5784  1.01667
 1.01817 -14.5668  1.01667
 1.01847 -14.5552  1.01697
 1.01877 -14.5436  1.01727
 1.01907  -14.532  1.01757
 1.01937 -14.5204  1.01787
 1.01967 -14.5088  1.01787
 1.01997 -14.4973  1.01817
 1.02027 -14.4857  1.01847
 1.02057 -14.4742  1.01877
 1.02087 -14.4627  1.01907
 1.02117 -14.4512  1.01907
 1.02147 -14.4397  1.01937
 1.02177 -14.4282  1.01967
 1.02207 -14.4168  1.01997
 1.02237 -14.4053  1.01997
 1.02267 -14.3939  1.02027
 1.02297 -14.3824  1.02057
 1.02327  -14.371  1.02087
 1.02357 -14.3596  1.02117
 1.02387 -14.3482  1.02117
 1.02417 -14.3368  1.02147
 1.02447 -14.3254  1.02177
