 kgrid  ValNew  Policy 
    0.85 -48.8304     0.85
  0.8503 -48.7998     0.85
0.850601 -48.7693     0.85
0.850901 -48.7389     0.85
0.851201 -48.7087     0.85
0.851502 -48.6785     0.85
0.851802 -48.6485     0.85
0.852102 -48.6187     0.85
0.852402 -48.5889     0.85
0.852703 -48.5593     0.85
0.853003 -48.5298   0.8503
0.853303 -48.5003   0.8503
0.853604 -48.4709 0.850601
0.853904 -48.4415 0.850901
0.854204 -48.4122 0.850901
0.854505 -48.3829 0.851201
0.854805 -48.3537 0.851201
0.855105 -48.3245 0.851502
0.855405 -48.2954 0.851802
0.855706 -48.2663 0.851802
0.856006 -48.2373 0.852102
0.856306 -48.2084 0.852402
0.856607 -48.1795 0.852402
0.856907 -48.1506 0.852703
0.857207 -48.1218 0.853003
0.857508  -48.093 0.853003
0.857808 -48.0643 0.853303
0.858108 -48.0356 0.853604
0.858408  -48.007 0.853604
0.858709 -47.9784 0.853904
0.859009 -47.9499 0.854204
0.859309 -47.9214 0.854505
 0.85961 -47.8929 0.854505
 0.85991 -47.8645 0.854805
 0.86021 -47.8362 0.855105
0.860511 -47.8078 0.855105
0.860811 -47.7796 0.855405
0.861111 -47.7513 0.855706
0.861411 -47.7231 0.855706
0.861712  -47.695 0.856006
0.862012 -47.6669 0.856306
0.862312 -47.6388 0.856607
0.862613 -47.6108 0.856607
0.862913 -47.5828 0.856907
0.863213 -47.5549 0.857207
0.863514  -47.527 0.857207
0.863814 -47.4991 0.857508
0.864114 -47.4713 0.857808
0.864414 -47.4436 0.858108
0.864715 -47.4158 0.858108
0.865015 -47.3881 0.858408
0.865315 -47.3605 0.858709
0.865616 -47.3329 0.858709
0.865916 -47.3053 0.859009
0.866216 -47.2778 0.859309
0.866517 -47.2503  0.85961
0.866817 -47.2229  0.85961
0.867117 -47.1955  0.85991
0.867417 -47.1681  0.86021
0.867718 -47.1408  0.86021
0.868018 -47.1135 0.860511
0.868318 -47.0863 0.860811
0.868619 -47.0591 0.861111
0.868919  -47.032 0.861111
0.869219 -47.0048 0.861411
 0.86952 -46.9778 0.861712
 0.86982 -46.9507 0.861712
 0.87012 -46.9237 0.862012
 0.87042 -46.8968 0.862312
0.870721 -46.8699 0.862613
0.871021  -46.843 0.862613
0.871321 -46.8161 0.862913
0.871622 -46.7893 0.863213
0.871922 -46.7626 0.863213
0.872222 -46.7358 0.863514
0.872523 -46.7091 0.863814
0.872823 -46.6825 0.864114
0.873123 -46.6559 0.864114
0.873423 -46.6293 0.864414
0.873724 -46.6028 0.864715
0.874024 -46.5763 0.865015
0.874324 -46.5499 0.865015
0.874625 -46.5234 0.865315
0.874925 -46.4971 0.865616
0.875225 -46.4707 0.865616
0.875526 -46.4444 0.865916
0.875826 -46.4181 0.866216
0.876126 -46.3919 0.866517
0.876426 -46.3657 0.866517
0.876727 -46.3396 0.866817
0.877027 -46.3135 0.867117
0.877327 -46.2874 0.867417
0.877628 -46.2613 0.867417
0.877928 -46.2353 0.867718
0.878228 -46.2094 0.868018
0.878529 -46.1834 0.868318
0.878829 -46.1575 0.868318
0.879129 -46.1316 0.868619
0.879429 -46.1058 0.868919
 0.87973   -46.08 0.868919
 0.88003 -46.0543 0.869219
 0.88033 -46.0285  0.86952
0.880631 -46.0029  0.86982
0.880931 -45.9772  0.86982
0.881231 -45.9516  0.87012
0.881532  -45.926  0.87042
0.881832 -45.9005 0.870721
